00256870Emily     Johnson   3033001430518528931 University Drive, Edmonton, QC, Y6G 3W7            
00684908Jennifer  Jackson   1026001296753818234 Campus Road, Calgary, QC, O1R 4V0                  
01796386Sarah     Scott     4024001578629982304 Campus Road, Toronto, QC, U5U 9S4                  
01879587Michael   Jones     1015005872206395717 Campus Road, Vancouver, QC, S0L 8S7                
01915436Andrew    Garcia    4021008725362955167 College Blvd, Vancouver, QC, B9A 6B8               
01962068Rebecca   Ramirez   3011008992267054288 Campus Road, Toronto, QC, S7W 1I5                  
02021126Michelle  Robinson  1013007952494557715 Student Lane, Vancouver, QC, Z6G 3A4               
02403897Steven    Davis     2025000543680042453 Main St, Vancouver, QC, K9Y 8T7                    
02426899Jennifer  Jackson   2033008824972063580 Main St, Montreal, QC, B4E 7T5                     
02629528Brian     Young     3036004666733477390 Campus Road, Edmonton, QC, P3W 4X3                 
02798426Steven    Jackson   2025006851652365724 Maple Road, Montreal, QC, B4M 7L1                  
03356656Michael   Hill      2015000130862739806 College Blvd, Edmonton, QC, W4C 9F7                
03442190William   Nguyen    1022009119466975744 Oak Street, Ottawa, QC, D1D 9X9                    
03682503Melissa   White     1022009176390746238 University Drive, Toronto, QC, E7N 3Y3             
03813722David     Davis     2032007827449313216 College Blvd, Toronto, QC, U8C 4A4                 
04397774Michelle  Martin    3033009786514179353 Student Lane, Edmonton, QC, B8Z 9J7                
04429465John      Clark     4015004656380649584 Maple Road, Vancouver, QC, W5S 1P4                 
05109460Paul      Thomas    1015005584894695312 Campus Road, Edmonton, QC, X1S 4J0                 
06378917David     Johnson   2024000476910191373 University Drive, Vancouver, QC, M0L 1V2           
06831684Laura     Clark     2013009128048452051 Oak Street, Montreal, QC, Q7K 1R7                  
07051676John      Walker    1035006973642937157 University Drive, Calgary, QC, B4K 6Z7             
07256134James     Jackson   4033004484795171542 Maple Road, Toronto, QC, Y6O 4F8                   
08214227Lisa      Clark     1015004558815284009 Maple Road, Vancouver, QC, G9L 2X8                 
08255415Robert    Wright    4021001025235774543 College Blvd, Edmonton, QC, C8I 8D9                
09741843Paul      Jackson   1013005298069529000 Oak Street, Ottawa, QC, N0T 2L9                    
09842385Joshua    Thompson  1014002995235017981 Campus Road, Ottawa, QC, O0Q 2L7                   
09844253Steven    Martin    4024005356806717731 Oak Street, Montreal, QC, M9L 3B1                  
10705832George    Harris    4023007911929619964 Maple Road, Montreal, QC, Q8M 0E7                  
12316373James     Hill      1015001687620184615 College Blvd, Vancouver, QC, R2X 1E0               
12954674Sarah     Perez     4036006995557808519 Student Lane, Vancouver, QC, H2E 5Z6               
12971610Brian     White     1026000652049192174 Main St, Montreal, QC, H9X 2J5                     
13820834Lisa      Nguyen    2015004497487093301 First Ave, Montreal, QC, I4D 1T2                   
14349399Laura     White     2014005335984342812 Main St, Calgary, QC, V3F 6A3                      
